,ID,Entrez ID,Gene Name,Geneset Name,Geneset Link
0,0,3726,JUNB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
1,1,2920,CXCL2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
2,2,467,ATF3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
3,3,4792,NFKBIA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
4,4,7128,TNFAIP3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
5,5,5743,PTGS2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
6,6,2919,CXCL1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
7,7,8870,IER3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
8,8,9308,CD83,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
9,9,6364,CCL20,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
10,10,2921,CXCL3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
11,11,23764,MAFF,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
12,12,4791,NFKB2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
13,13,7127,TNFAIP2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
14,14,1839,HBEGF,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
15,15,1316,KLF6,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
16,16,330,BIRC3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
17,17,5329,PLAUR,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
18,18,7538,ZFP36,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
19,19,3383,ICAM1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
20,20,3725,JUN,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
21,21,1960,EGR3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
22,22,3553,IL1B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
23,23,597,BCL2A1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
24,24,23645,PPP1R15A,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
25,25,80149,ZC3H12A,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
26,26,6648,SOD2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
27,27,4929,NR4A2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
28,28,3552,IL1A,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
29,29,5971,RELB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
30,30,7185,TRAF1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
31,31,7832,BTG2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
32,32,1843,DUSP1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
33,33,1326,MAP3K8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
34,34,2114,ETS2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
35,35,2152,F3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
36,36,6385,SDC4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
37,37,1958,EGR1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
38,38,3569,IL6,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
39,39,7124,TNF,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
40,40,23135,KDM6B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
41,41,4790,NFKB1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
42,42,3976,LIF,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
43,43,5806,PTX3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
44,44,8061,FOSL1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
45,45,3164,NR4A1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
46,46,182,JAG1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
47,47,6351,CCL4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
48,48,2643,GCH1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
49,49,6347,CCL2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
50,50,1827,RCAN1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
51,51,1844,DUSP2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
52,52,10938,EHD1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
53,53,9592,IER2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
54,54,5966,REL,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
55,55,8837,CFLAR,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
56,56,8767,RIPK2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
57,57,4794,NFKBIE,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
58,58,8013,NR4A3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
59,59,22822,PHLDA1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
60,60,51278,IER5,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
61,61,8744,TNFSF9,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
62,62,2669,GEM,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
63,63,1647,GADD45A,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
64,64,3627,CXCL10,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
65,65,10769,PLK2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
66,66,8553,BHLHE40,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
67,67,1959,EGR2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
68,68,9021,SOCS3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
69,69,11182,SLC2A6,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
70,70,5734,PTGER4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
71,71,1847,DUSP5,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
72,72,5055,SERPINB2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
73,73,4783,NFIL3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
74,74,5054,SERPINE1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB
